Track,Artist,Genre song,Genre artist,Total Genre
Roni,Bobby Brown,#N/A,pop,pop
The Way You Love Me,Karyn White,#N/A,#N/A,#N/A
You Got It (THE Right Stuff),New Kids on the Block,#N/A,pop,pop
Love In An Elevator,Aerosmith,#N/A,rock,rock
The Living Years,Mike + The Mechanics,#N/A,#N/A,#N/A
This Time I Know It’s For Real,Donna Summer,#N/A,pop,pop
Buffalo Stance,Neneh Cherry,#N/A,#N/A,#N/A
Giving You The Best That I Got,Anita Baker,#N/A,#N/A,#N/A
Heaven Help Me,Deon Estus,#N/A,#N/A,#N/A
Keep On Movin’,Soul II Soul,#N/A,#N/A,#N/A
Cover Girl,New Kids on the Block,#N/A,pop,pop
Shower Me With Your Love,Surface,#N/A,#N/A,#N/A
Cold Hearted,Paula Abdul,pop,pop,pop
Don’t Wanna Lose You,Gloria Estefan,#N/A,pop,pop
In Your Room,The Bangles,#N/A,pop,pop
Lay Your Hands On Me,Bon Jovi,pop,rock,pop
Look Away,Chicago,pop,rock,pop
Thinking Of You,Sa-Fire,#N/A,#N/A,#N/A
Baby Don’t Forget My Number,Milli Vanilli,#N/A,#N/A,#N/A
Hangin’ Tough,New Kids on the Block,#N/A,pop,pop
Miss You Much,Janet Jackson,#N/A,pop,pop
Put A Little Love In Your Heart,Annie Lennox & Al Green,#N/A,#N/A,#N/A
On Our Own,Bobby Brown,#N/A,pop,pop
She Wants To Dance With Me,Rick Astley,#N/A,pop,pop
What You Don’t Know,Exposé,#N/A,pop,pop
Batdance,Prince,#N/A,rock,rock
Forever Your Girl,Paula Abdul,pop,pop,pop
It’s No Crime,Babyface,#N/A,pop,pop
Surrender To Me,Ann Wilson and Robin Zander,#N/A,#N/A,#N/A
I Wanna Have Some Fun,Samantha Fox,#N/A,pop,pop
My Heart Can’t Tell You No,Rod Stewart,#N/A,rock,rock
Secret Rendezvous,Karyn White,#N/A,#N/A,#N/A
Girl I’m Gonna Miss You,Milli Vanilli,#N/A,#N/A,#N/A
Two Hearts,Phil Collins,country,rock,country
I’ll Be There For You,Bon Jovi,#N/A,rock,rock
The Lover In Me,Sheena Easton,pop,pop,pop
When I Looked At Him,Exposé,#N/A,pop,pop
I Remember Holding You,Boys Club,#N/A,#N/A,#N/A
Don’t Rush Me,Taylor Dayne,#N/A,pop,pop
I’ll Be Loving You (FOREVER),New Kids on the Block,#N/A,pop,pop
"Baby, I Love Your Way/Freebird Medley",Will to Power,r&b,pop,r&b
